N,Nom,Prenom,Naissance,CNE,CIN,Email,GSM,Etablissement
1,Sanad,Omar,2000-03-09,123 HAY SAADA,123 HAY SAADA,omar.2018.sanad@gmail.com,0604442192,ESTSB
2,Khettaby,Omar,2000-03-09,K139870263,M325871,omar.2018.sanad@gmail.com,0604442192,ESTSB
3,Omary,Omar,2000-03-09,K139870263,M325871,omar.2018.sanad@gmail.com,0604442192,ESTSB
4,alamy,Omar,2000-03-09,K139870263,M325871,omar.2018.sanad@gmail.com,0604442192,ESTSB
5,Amrany,Omar,2000-03-09,K139870263,M325871,omar.2018.sanad@gmail.com,0604442192,ESTSB
6,chakiry,Omar,2000-03-09,K139870263,M325871,omar.2018.sanad@gmail.com,0604442192,ESTSB
7,sanad,saad,null,null,null,omar.2018.sanad@gmail.com,0604442192,
8,sanad,saad,null,null,null,omar.2018.sanad@gmail.com,0604442192,
9,sanad,saad,null,null,null,omar.2018.sanad@gmail.com,0604442192,
10,sanad,saad,null,null,null,omar.2018.sanad@gmail.com,0604442192,
11,sanad,saad,null,null,null,omar.2018.sanad@gmail.com,0604442192,
